1|1000|0.7860797404010368|0.18217990912930132|0.6038804735452965
2|1000|0.9562744514751179|0.3574728132583833|0.5987668733202729
1|10000|8.443305367344463|2.0942164249123665|6.349063658871034
2|10000|38.125112146420264|31.885909115869424|6.238995231283347
1|10000|5.204504917698619|1.7195009652887154|5.181467167739802
2|10000|18.494710170433603|18.447129159857106|18.487250959659345
1|10000|4.97049222811232|1.5462439859569947|4.944605029614434
2|10000|6.956488727237101|5.690695975731689|6.9308993915145445
1|100000|1000|16.69569762108774|16.294520312542588|16.674633113254618
2|100000|1000|833.4074948436951|833.3462299224095|833.3809542433002
1|100000|1000|16.23194621720201|15.828386796541158|16.219749645152206
2|100000|1000|16.97727867985954|16.34491324252864|16.957320293738523
1|1000000|1000|161.50902417547516|161.4469391439487|161.4908608668755
2|1000000|1000|168.7802262571962|167.65409124793044|168.69187952596366
1|5000000|1000|939.2088330139408|939.126471586301|939.1989486313126
2|5000000|1000|968.9996420906174|962.663819983432|968.5969920600213
